Clements_genus,Clements_species,Clements_subspecies,Clements_binomial,Clements_trinomial,Harvey_tipnamecodes,Harvey_matrix.species,Harvey_matrix.subspecies,Harvey_Clements_species,Taxonomic_Comments,Migratory_status,Direction,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Doublechecked,Doublechecked by MM
Agriornis,albicauda,albicauda,Agriornis albicauda,Agriornis albicauda albicauda,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis_albicauda,in HBW Agriornis_andicola; this name in BOW,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,albicauda,pollens,Agriornis albicauda,Agriornis albicauda pollens,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,lividus,fortis,Agriornis lividus,Agriornis lividus fortis,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis_lividus,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,lividus,lividus,Agriornis lividus,Agriornis lividus lividus,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,micropterus,andecola,Agriornis micropterus,Agriornis micropterus andecola,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,micropterus,micropterus,Agriornis micropterus,Agriornis micropterus micropterus,Agrior_micro_A13502,Agriornis micropterus,micropterus,Agriornis_micropterus,,directional migratory,austral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
Agriornis,montanus,insolens,Agriornis montanus,Agriornis montanus insolens,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,montanus,intermedius,Agriornis montanus,Agriornis montanus intermedius,Agrior_montan_L6710,Agriornis montanus,intermedius,Agriornis_montanus,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,montanus,maritimus,Agriornis montanus,Agriornis montanus maritimus,NA,NA,NA,NA,,directional migratory,austral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
Agriornis,montanus,montanus,Agriornis montanus,Agriornis montanus montanus,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,montanus,solitarius,Agriornis montanus,Agriornis montanus solitarius,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Agriornis,murinus,NA,Agriornis murinus,Agriornis murinus,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis_murinus,,directional migratory,austral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
Alectrurus,risora,NA,Alectrurus risora,Alectrurus risora,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus_risora,,resident,resident,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"resident, possibly a partial migrant in S part of range",1,1
Alectrurus,tricolor,NA,Alectrurus tricolor,Alectrurus tricolor,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus_tricolor,,resident,resident,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,"resident, at most partially migratory or nomadic",1,1
Anairetes,alpinus,alpinus,Anairetes alpinus,Anairetes alpinus alpinus,Anaire_alpin_NM34088,Anairetes alpinus,alpinus,Anairetes_alpinus,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Anairetes,alpinus,bolivianus,Anairetes alpinus,Anairetes alpinus bolivianus,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Anairetes,fernandezianus,NA,Anairetes fernandezianus,Anairetes fernandezianus,Anaire_ferna_CM120730,Anairetes fernandezianus,?,Anairetes_fernandezianus,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Anairetes,flavirostris,arequipae,Anairetes flavirostris,Anairetes flavirostris arequipae,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
Anairetes,flavirostris,cuzcoensis,Anairetes flavirostris,Anairetes flavirostris cuzcoensis,NA,NA,NA,NA,,resident,resident,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
